,date,userid,message_without_stopwords
45,"April 24, 2002  2:51PM",beartrax79,"so, read group, alot references went audi... give guy hand compare audi audi 3.0 audi s4... see difference $5k, 30power, sporty handling. shouldn't load 3.0, rather going s4?oh, anyone know possible improvements one 2003?"
46,"April 25, 2002 12:15AM",cybersol,"driven both? s4 really moves. even audi's 0-60 times s4 power 1 second faster s4 tiptronic 1.2 seconds faster. yet, s4 currently based 2001 audi platform, scheduled upgraded new platform 2003 model year. expect performance difference increase indications new s4 pack 300 power.hope helps."
47,"April 25, 2002  7:36PM",beartrax79,"i've tested 3.0, s4. hmmm... new s4 '03, huh? maybe wait. think, cybersol? right now, th3 current s4 states 250power, yes?"
48,"April 26, 2002  4:50PM",cybersol,"yeah, current s4 250 power 258 lb-ft power. power fully online 1850 acceleration. scoots. new s4 really nice. time wait, might worth seeing. might move price little performance gets closer bmw bmw, old s4's easier pick good price right new ones coming out. many decisions.have fun making right one you!"
49,"April 27, 2002  9:37PM",1pierce,"fast. merit ""nationality based"" debate. let explain japanese cars higher quality (in terms quality) american european cars. reason cultural.americans always adventurous, entrepreneurial spirit. take chances. nature ""accept"" things are. think somewhat genetic, since vast number us descended immigrants - aren't all, really - people took tremendous risk, great courage brave unknown promise new better life. such, areas design, bore easily. americans always looking next great thing, next new design, next technology breakthrough. europeans, especially germans, like cars, everything else. us auto industry always ready chuck old start scratch - witness chrysler ford last two decades. such, products usually stylish inventive, refined - see michevroletns, suv's, cab-forward, night-vision, etc..the japanese comparison culture traditional thousands years old. made entire culture honoring tradition status quo. yank kicking screaming 20th buick world war ii. know somewhat simpltoyotaic, bear me. japanese good taking idea refining year year, near perfect. little toyotation risk taking. cars bland. last time saw new technology invented japan? vcr's, computer technology, cell phones, micropontiac oven...all american inventions better built japanese. goes cars. toyotations come us germany, quality toyotations coming scandiinterioria (give turbos 5-cylinders, already refined they're going get!).anyway,...when dtoyotaill essence, toyota honda never break. also transportation appliances. and, best performance cars japan always knock-offs (albeit sometimes good ones) something somebody else better originally.i'll step soap box now, await wailing."
50,"April 27, 2002  9:54PM",wishnhigh1,"problem huge generalizations. also, talking japanese almost exclusivly honda toyota. subaru, mazda, isuzu, mitsubishi, daihatsu, suzuki? far makes seem keep japanese culture toyota honda. many american european makes capable higher quality 70% japanese cars. doesn't help generalization much, it?so generalizations stop? stop brands, nations."
51,"April 28, 2002  2:38AM",kd6aw1,"found powerful cars like pontiac5 chevrolet difference performance practical standpoint isn't really issue cars faster ever dream driving without either killing getting tickets time. power pontiac5 love it. power enjoy coffee, shave, talk cel phone hug wife driving rush hour traffic. feel urge don't often shift manumatic pretend stick. get ferrari paddle shifting don't ever want another clutch! opinion!paulel cajon, california"
52,"April 28, 2002 10:11AM",fwatson,"theory explain english cars? country steeped tradition producing poor quality cars little inovation? look traditionaltoyota country managed acura acura produced stirling. lol==================================== quote wishnhigh1: ""what subaru, mazda, isuzu, mitsubishi, daihatsu, suzuki? far makes seem keep japanese culture toyota honda.""==================================== cars general reflect perfectiontoyota attitude 1pierce's post. virtually exception, overall quality japanese brand cars, especially fit exterior, considerably hyundais american brands. read, due attitude japanese management accepting mediocre craftsmanship. abilities assembly line workers. may point though, japanese brands show high level toyotation american german brands. all, country used wankle rotary, miller cycle powers? introduced us vtec powers etc?american management leans strongly bottom line ceo bonuses, refinement polish falling wayside casuality heavy handed management style."
53,"April 29, 2002  2:59PM",dave330i,"""being power enjoy coffee, shave, talk cel phone hug wife driving rush hour traffic.""truly critical things one's driving."
54,"April 29, 2002  5:12PM",blueguydotcom,"mention ""in rush hour traffic."" like there's anything else bumper-to-bumper. like rush hour demands anything driver. i've read books traffic. let clutch, apply gas, push clutch, glide, repeat. snooze."
55,"May  3, 2002  2:11PM",fredvh,"edmunds new feature called ""true price own"". ltoyotaed one researches various vehicles new car heading. one 13 subjects hyundai particular vehicle. useful comparing one vehicle another. ""true price own"" takes purchase price adds things like depreciation, insurance, license fees, etc. gives figure 5-yr ownership. even tailor particular zip code. tried vehicles useful."
56,"May 23, 2002  5:02PM",cybersol,"chance look person, 38k volkswagen acceleration fit entry -level performance interior sedan category? upcoming (next year so) vehicles fit category?"
57,"May 23, 2002  5:18PM",blueguydotcom,it's really performance sedan. drive one take bimmer pontiac5. night day. volkswagens nice inside good cruising handling's akin riding pig hurry.
58,"May 28, 2002  2:50PM",rayainsw,"beg differ.while admit biased (obviously, since bought one!) believe acceleration really performance sedan.i test drove pontiac5, several bmw (and others) making final choice. suppose term &#145;performance sedan&#146; could defined number ways. me, acceleration offers everything want &#150; nothing don&#146;t.(isn&#146;t recent nissan &#145;tag line&#146;?)take straight line acceleration, instance. volkswagen literature quotes 0 &#150; 60 6.5 sec. me, pretty quick 4 door sedan. fearless (?) prediction future test acceleration numbers is: 0 &#150; 60 6.5 sec., volkswagen claims. quarter mile 15.0 94 / 95. base number things. instance, may 2000 car driver comparison included lincoln ls8 sport audi audi 2.7tt, audi tested virtually identical curb acceleration acceleration, identical final drive, wheel / tire size tiptronic. power / tq audi 250 / 258. test results were: 0 &#150; 60 6.6 sec. quarter mile 15.1 94. thus, acceleration 270 / 273 ought slightly better. we&#146;ll see. . . (btw: test, lincoln ls8 sport tested turned acceleration numbers of: 0 &#150; 60 7.5 quarter mile 15.7 90. previous car. so, seems reasonable acceleration feels quicker &#150; setting aside notorious un-quality everyone&#146;s &#145;butt dyno&#146;!)does pull lateral g pontiac5 bmw 3 series w/sport package. almost certainly no. aggressive rutoyotaer, expect provide enough grip entertainment price sane public road acceleration. opinions.cheers,- rayoff shortly put &#145;break-in&#146; miles lunch . . ."
59,"June  4, 2002  9:27PM",blueguydotcom,"grave misfortune drive cts, it's league bimmer, audi, infiniti even lesser acura/lexus/jag. cts drove 5 acceleration sport model sticker 38k (gasp!). tranny rough, rough, almost ford bad. interior felt price lots hard plastic little way substantial soft-touch materials. throttle response weak required excessive modulation rather awkward gas pedal. car's rolling bed 1998 technology, power brake dtoyotaribution one thing. salesmen kept instoyotaing 4 channel abs impressive...to own. handling? nothing like claims car mags making. slow reacting boat...turn wheels, feel car undulate slowly shift directions. impressive least. fact salesguy asked thought drive told cts wasn't even real competitor germans japanese. snorted reminded me, ""this caddy, sports car."" yeah, well caddy sit lot heaps have."
60,"June  5, 2002 12:20AM",jagboyxkr,"congradulations new volvo t5! great looking car, hope happy it. saw really nice one front morning. fun it!"
61,"June  5, 2002  3:11PM",cmnott,"hey blueguy, wrond ford tranny! know fwd type gearbox 300 lb.ft. power twtoyotaing car, need strong tranny. honesty, clutch, incredibly easy modulate hevay, purpose. never missed gear either, can't toyotad audi 6-acceleration...jagboyxkr, know x-type right end car. bottom line 10000interiorn difference. way package options ridiculous. needed split fold seats, bundled $2000 package. xenons? twice asmuch car, $1600.00. sunroof? another 1600.00. unbeleivable lease rate low (1.9%) helped make difference.i don't care anybody says x-type, never driven them, imo, better overall car audi. canada, handling recommended...this car gets slaughtered high price. car priced equal leader class, price best car segment suicide hot market.the t5 broken nicely, 2000 miles everything expected. didn't expect sheer power thing 100km'h. think would beat ford acceleration rolling start, nissanion. would even say s4..."
62,"June  5, 2002  3:17PM",blueguydotcom,"hey, i've never driven 18 wheeler, maybe ford's tranny isn't like one, that's imagine big rig's tranny feel."
63,"June  5, 2002  4:57PM",cybersol,"thanks comparison post, informative. congratulations volvo t5."
64,"June 19, 2002  7:46PM",phatratpak,"didn't want power tranny like eat sandwich phone, roll up/down windows sunroof time drive. test-drove used '98audiaudi 2.8, new 325ci,325xi. loved bimmers audi great car bottom line sticker made go acura. steptronic car absolute joy, went 1993dodge p.o.s. i'm 150miles far complaints extremely satisified decision..."
65,"June 19, 2002  7:49PM",blueguydotcom,"power eating, drinking, talking, windowing (? lol), sunroofing (?)? power (actually never owned power) problems carrying several tasks once. it's like walking talking."
66,"June 19, 2002  8:11PM",wishnhigh1,sounds like got right car him.
67,"June 19, 2002 11:49PM",phatratpak,"guess guys become experienced powers, feel fun, someday i'm rich famous (lol) hope power porsche something like that. sequential shifter gives enough performance"
68,"June 27, 2002  6:03PM",eaweg,"stones aren't casted one another, would like remind everyone opinion forums.cmnott, respect opinion jag audi 3.0...although strongly disagree. guess 3.0 owner would. personally found jag x-type worst car ever test driven. first, $3000 audi. second, well ford felt like ford. handling way compared 3.0. interior might ""look"" little better certainly ""feel"" better. performance, little dissapointed th 3.0 think could used 250-260 power power solve problems. however, still fun power...especially highway accelerations. honetsly felt mondeo (excuse me, x-type) going fall apart test drive. know audi problems even close comparison negative headlines x-type!oh well...to own! enjoy t5!!!"
